road,segmentNo,width,nrLanes,Km
Z1417,1,3.6567460317460316,1.003968253968254,2.52
Z1417,2,3.4951498127340828,1.0,10.679999999999998
Z1420,1,3.7277991452991452,1.0042735042735043,11.7
Z1421,1,8.143153526970956,2.5477178423236517,0.9640000000000001
Z1421,2,5.600961538461538,2.0288461538461537,4.576
Z1421,3,5.5,2.0,8.782
Z1421,4,5.511144278606965,2.0,10.049999999999999
Z1422,1,5.600193072118116,1.989892106757524,17.61
Z1422,2,5.518626956082786,1.8750630994447244,19.810000000000002
Z1423,1,3.676727272727273,1.0090909090909093,13.2
Z1424,1,5.533310104529616,2.0043205574912895,28.7
Z1425,1,4.280808966861599,1.346166341780377,15.39
Z1426,1,3.985293019783501,1.1343784994400896,13.395
Z1429,1,3.6918975310073026,1.0280224875391213,17.254
Z1429,2,3.9694821356884775,1.092412685668406,12.454999999999998
Z1430,1,3.4767184265010354,1.0111801242236025,14.49
Z1430,2,4.051990145507737,1.1955500808376318,12.988999999999999
Z1432,1,4.463794289645682,1.189943813782823,8.721
Z1433,1,3.7200980392156864,1.0240196078431374,10.2
Z1434,1,4.423814573549462,1.4085239610160074,19.803
Z1436,1,4.0508771929824565,1.1719298245614036,8.55
Z1437,1,3.537901390644753,1.0,3.1639999999999997
Z1438,1,3.806017191977077,1.3060171919770773,17.45
Z1439,1,5.606277695716396,2.0,33.85
Z1441,1,6.0,2.0,3.1460000000000004
Z1441,2,5.735094998908059,2.0,18.316
Z1441,3,6.476221868606501,2.0,8.798000000000002
Z1443,1,3.784530676455165,1.034740429994756,7.627999999999999
Z1443,2,3.866589327146172,1.1481051817478733,5.1720000000000015
Z1444,1,5.725851285615011,2.034746351633079,5.756
Z1444,2,5.076568501920614,1.7526065483811963,10.934000000000001
Z1445,1,3.770517265289141,1.0471501872139786,14.422
Z1445,2,3.7,1.0,5.687999999999999
